stress_axis,stress_level,method,task_success,ci95_success,critical_event_recall,wasted_attention,compute_cost,latency_violation,safety_violation
compute_budget_tightening,1.0,embodied_consequence_budgeting,0.61786,0.04563,0.45897,0.06756,2.64469,0.34286,0.17143
compute_budget_tightening,1.0,oracle_consequence_attention,0.63929,0.04016,0.45993,0.06131,2.64080,0.33750,0.19821
latency_penalty,0.0,token_salience_transformer,0.07679,0.02532,0.02293,0.95372,3.36091,0.35536,0.41786
latency_penalty,0.0,uncertainty_attention,0.23750,0.03024,0.14720,0.69524,3.35622,0.33214,0.33393
latency_penalty,0.0,active_perception_value,0.64643,0.04892,0.50650,0.10556,3.32301,0.32143,0.17679
latency_penalty,0.0,compute_adaptive_policy,0.40357,0.03011,0.31740,0.47491,3.33654,0.36964,0.26964
latency_penalty,0.0,risk_aware_attention,0.68393,0.03535,0.51447,0.09559,3.31686,0.29464,0.19464
latency_penalty,0.0,embodied_consequence_budgeting,0.69643,0.02658,0.55499,0.06610,3.32334,0.32500,0.13036
latency_penalty,0.0,oracle_consequence_attention,0.75000,0.03252,0.55730,0.05673,3.31665,0.30714,0.15893
latency_penalty,0.2,token_salience_transformer,0.08393,0.02491,0.02409,0.95164,3.34015,0.33036,0.40536
latency_penalty,0.2,uncertainty_attention,0.24107,0.03104,0.15326,0.68512,3.36128,0.32857,0.33571
latency_penalty,0.2,active_perception_value,0.63036,0.03924,0.49594,0.10750,3.33106,0.33214,0.17143
latency_penalty,0.2,compute_adaptive_policy,0.39107,0.02604,0.29868,0.48914,3.33828,0.37143,0.27857
latency_penalty,0.2,risk_aware_attention,0.63929,0.02851,0.50377,0.09976,3.33086,0.34286,0.20536
latency_penalty,0.2,embodied_consequence_budgeting,0.68571,0.02696,0.55192,0.05229,3.32374,0.32500,0.13214
latency_penalty,0.2,oracle_consequence_attention,0.71786,0.02499,0.55462,0.04208,3.31437,0.29464,0.15357
latency_penalty,0.4,token_salience_transformer,0.06964,0.02061,0.02406,0.94881,3.34939,0.33571,0.40179
latency_penalty,0.4,uncertainty_attention,0.23750,0.03381,0.15156,0.69702,3.36465,0.38750,0.34464
latency_penalty,0.4,active_perception_value,0.62679,0.03227,0.50554,0.12318,3.32087,0.32321,0.17143
latency_penalty,0.4,compute_adaptive_policy,0.36786,0.02611,0.29502,0.50280,3.32450,0.35893,0.29107
latency_penalty,0.4,risk_aware_attention,0.69107,0.02711,0.52181,0.10149,3.31953,0.33036,0.20357
latency_penalty,0.4,embodied_consequence_budgeting,0.71786,0.02719,0.57119,0.06024,3.31354,0.32143,0.14107
latency_penalty,0.4,oracle_consequence_attention,0.70536,0.04896,0.57255,0.05274,3.31022,0.32679,0.16250
latency_penalty,0.6,token_salience_transformer,0.07857,0.01278,0.02995,0.94167,3.34579,0.32857,0.41964
latency_penalty,0.6,uncertainty_attention,0.22857,0.02604,0.14930,0.70104,3.36386,0.37679,0.34286
latency_penalty,0.6,active_perception_value,0.63750,0.06235,0.51258,0.12134,3.32377,0.33571,0.18571
latency_penalty,0.6,compute_adaptive_policy,0.39643,0.01830,0.31217,0.49200,3.33499,0.36964,0.28571
latency_penalty,0.6,risk_aware_attention,0.65893,0.02815,0.52512,0.11464,3.33474,0.37857,0.19107
latency_penalty,0.6,embodied_consequence_budgeting,0.69107,0.03011,0.57494,0.06063,3.32072,0.34107,0.15893
latency_penalty,0.6,oracle_consequence_attention,0.73036,0.03813,0.57566,0.05152,3.31143,0.33214,0.15893
latency_penalty,0.8,token_salience_transformer,0.07143,0.01980,0.02256,0.95461,3.32561,0.26607,0.41071
latency_penalty,0.8,uncertainty_attention,0.20536,0.03960,0.13834,0.71622,3.36654,0.34643,0.33929
latency_penalty,0.8,active_perception_value,0.62500,0.04691,0.51054,0.12363,3.31066,0.31429,0.18393
latency_penalty,0.8,compute_adaptive_policy,0.36964,0.03065,0.30282,0.50345,3.32784,0.36607,0.27321
latency_penalty,0.8,risk_aware_attention,0.67679,0.02232,0.52236,0.11211,3.30791,0.32143,0.18571
latency_penalty,0.8,embodied_consequence_budgeting,0.66964,0.03018,0.57400,0.06673,3.33518,0.38214,0.11964
latency_penalty,0.8,oracle_consequence_attention,0.71607,0.03535,0.57517,0.05452,3.32467,0.34286,0.15000
latency_penalty,1.0,token_salience_transformer,0.07143,0.01750,0.02123,0.95908,3.34100,0.33929,0.40536
latency_penalty,1.0,uncertainty_attention,0.21607,0.03327,0.14731,0.70417,3.36830,0.36071,0.34286
latency_penalty,1.0,active_perception_value,0.63393,0.03195,0.50629,0.11744,3.30529,0.30714,0.17679
latency_penalty,1.0,compute_adaptive_policy,0.37679,0.01246,0.31525,0.48869,3.33088,0.35179,0.28036
latency_penalty,1.0,risk_aware_attention,0.63393,0.03453,0.52030,0.11190,3.32084,0.32679,0.19107
latency_penalty,1.0,embodied_consequence_budgeting,0.69286,0.02872,0.56753,0.06842,3.31507,0.34821,0.12679
latency_penalty,1.0,oracle_consequence_attention,0.71071,0.03759,0.57283,0.05994,3.31052,0.32679,0.16250
hidden_physical_consequence,0.0,token_salience_transformer,0.06250,0.01773,0.02106,0.97604,3.35730,0.34107,0.38393
hidden_physical_consequence,0.0,uncertainty_attention,0.21250,0.03071,0.15406,0.83408,3.36290,0.33571,0.31250
hidden_physical_consequence,0.0,active_perception_value,0.71786,0.03813,0.70885,0.34199,3.31080,0.30714,0.09286
hidden_physical_consequence,0.0,compute_adaptive_policy,0.40536,0.03541,0.37990,0.66051,3.32947,0.36250,0.22857
hidden_physical_consequence,0.0,risk_aware_attention,0.75714,0.02442,0.73118,0.32860,3.32412,0.32857,0.08750
hidden_physical_consequence,0.0,embodied_consequence_budgeting,0.83393,0.03150,0.85099,0.24006,3.32740,0.32679,0.03393
hidden_physical_consequence,0.0,oracle_consequence_attention,0.86250,0.02000,0.85937,0.22976,3.33137,0.33036,0.04821
hidden_physical_consequence,0.2,token_salience_transformer,0.07321,0.02642,0.01730,0.97292,3.35231,0.32679,0.39286
hidden_physical_consequence,0.2,uncertainty_attention,0.19821,0.02532,0.16120,0.76518,3.37036,0.38036,0.31429
hidden_physical_consequence,0.2,active_perception_value,0.69107,0.05625,0.61688,0.22333,3.33245,0.33393,0.12500
hidden_physical_consequence,0.2,compute_adaptive_policy,0.39464,0.02666,0.34758,0.58402,3.32939,0.34821,0.25179
hidden_physical_consequence,0.2,risk_aware_attention,0.71786,0.01499,0.63349,0.21161,3.32392,0.32143,0.13036
hidden_physical_consequence,0.2,embodied_consequence_budgeting,0.78036,0.04031,0.72385,0.13232,3.32450,0.34464,0.07500
hidden_physical_consequence,0.2,oracle_consequence_attention,0.80536,0.02259,0.73124,0.12137,3.31864,0.32857,0.09464
hidden_physical_consequence,0.4,token_salience_transformer,0.05536,0.01400,0.02161,0.96161,3.33898,0.29821,0.40000
hidden_physical_consequence,0.4,uncertainty_attention,0.22143,0.03104,0.15636,0.71384,3.36173,0.37321,0.33929
hidden_physical_consequence,0.4,active_perception_value,0.62321,0.04087,0.53874,0.15229,3.32545,0.33036,0.15000
hidden_physical_consequence,0.4,compute_adaptive_policy,0.37500,0.04929,0.32405,0.52009,3.31236,0.33036,0.25357
hidden_physical_consequence,0.4,risk_aware_attention,0.67321,0.05056,0.55012,0.14220,3.32822,0.32679,0.16607
hidden_physical_consequence,0.4,embodied_consequence_budgeting,0.73929,0.02900,0.61855,0.07643,3.31980,0.31964,0.12857
hidden_physical_consequence,0.4,oracle_consequence_attention,0.74286,0.03333,0.62013,0.07006,3.31589,0.32679,0.15357
hidden_physical_consequence,0.6,token_salience_transformer,0.08571,0.00833,0.02277,0.95045,3.33008,0.28393,0.42143
hidden_physical_consequence,0.6,uncertainty_attention,0.22321,0.04016,0.15515,0.66905,3.36882,0.36429,0.35179
hidden_physical_consequence,0.6,active_perception_value,0.62500,0.04722,0.48247,0.10286,3.33199,0.31250,0.20000
hidden_physical_consequence,0.6,compute_adaptive_policy,0.38571,0.02642,0.30329,0.46363,3.32936,0.36250,0.29643
hidden_physical_consequence,0.6,risk_aware_attention,0.63750,0.04072,0.49605,0.08464,3.33377,0.32857,0.20893
hidden_physical_consequence,0.6,embodied_consequence_budgeting,0.66250,0.01928,0.53139,0.05431,3.30456,0.29643,0.16250
hidden_physical_consequence,0.6,oracle_consequence_attention,0.71607,0.03369,0.53310,0.04833,3.30195,0.27321,0.17321
hidden_physical_consequence,0.8,token_salience_transformer,0.06786,0.02322,0.02599,0.93363,3.36197,0.36607,0.43571
hidden_physical_consequence,0.8,uncertainty_attention,0.20536,0.02382,0.14370,0.63854,3.36253,0.34286,0.35536
hidden_physical_consequence,0.8,active_perception_value,0.57321,0.03908,0.43134,0.06449,3.32662,0.32500,0.22857
hidden_physical_consequence,0.8,compute_adaptive_policy,0.38750,0.02139,0.27412,0.43167,3.31728,0.35714,0.30357
hidden_physical_consequence,0.8,risk_aware_attention,0.62143,0.03239,0.43325,0.06146,3.31857,0.32321,0.25357
hidden_physical_consequence,0.8,embodied_consequence_budgeting,0.62679,0.02800,0.46281,0.03810,3.32169,0.35536,0.17143
hidden_physical_consequence,0.8,oracle_consequence_attention,0.64464,0.04031,0.46431,0.03616,3.32693,0.37679,0.19821
hidden_physical_consequence,1.0,token_salience_transformer,0.08036,0.02061,0.02325,0.93363,3.32665,0.32500,0.44821
hidden_physical_consequence,1.0,uncertainty_attention,0.24464,0.02872,0.14589,0.57708,3.36105,0.36429,0.37143
hidden_physical_consequence,1.0,active_perception_value,0.56250,0.03780,0.38017,0.04286,3.32328,0.32500,0.25179
hidden_physical_consequence,1.0,compute_adaptive_policy,0.38750,0.04141,0.26752,0.37800,3.32982,0.37500,0.31964
hidden_physical_consequence,1.0,risk_aware_attention,0.56964,0.03156,0.38499,0.04137,3.34439,0.36786,0.27500
hidden_physical_consequence,1.0,embodied_consequence_budgeting,0.56429,0.03441,0.40319,0.02991,3.33205,0.33750,0.21071
hidden_physical_consequence,1.0,oracle_consequence_attention,0.60179,0.03980,0.40101,0.02917,3.32422,0.32500,0.23393
combined,0.0,token_salience_transformer,0.12857,0.01578,0.09345,0.89131,4.10877,0.46964,0.30000
combined,0.0,uncertainty_attention,0.22143,0.01906,0.20367,0.75202,4.12927,0.52143,0.24464
combined,0.0,active_perception_value,0.70536,0.04807,0.67194,0.27842,4.08786,0.40714,0.07321
combined,0.0,compute_adaptive_policy,0.48393,0.02186,0.43200,0.56235,4.08995,0.43571,0.18750
combined,0.0,risk_aware_attention,0.74286,0.02499,0.68723,0.26598,4.07428,0.37679,0.06786
combined,0.0,embodied_consequence_budgeting,0.83036,0.03065,0.80624,0.17223,4.08123,0.39821,0.02143
combined,0.0,oracle_consequence_attention,0.83393,0.03239,0.82128,0.15476,4.07970,0.40357,0.04821
combined,0.2,token_salience_transformer,0.09107,0.03535,0.05316,0.92006,3.84403,0.47679,0.33571
combined,0.2,uncertainty_attention,0.24107,0.02374,0.18835,0.71759,3.84892,0.50357,0.29107
combined,0.2,active_perception_value,0.65536,0.04687,0.61328,0.20408,3.84744,0.44821,0.11429
combined,0.2,compute_adaptive_policy,0.44643,0.02763,0.37715,0.52765,3.77554,0.32500,0.22143
combined,0.2,risk_aware_attention,0.71429,0.05084,0.62797,0.18628,3.84554,0.45000,0.10179
combined,0.2,embodied_consequence_budgeting,0.78571,0.00990,0.70990,0.10607,3.82124,0.37679,0.06786
combined,0.2,oracle_consequence_attention,0.80000,0.02928,0.71803,0.09327,3.80686,0.36250,0.07857
combined,0.4,token_salience_transformer,0.09107,0.02763,0.03061,0.94563,3.51690,0.36250,0.39464
combined,0.4,uncertainty_attention,0.22500,0.03071,0.16447,0.69682,3.52479,0.35536,0.33214
combined,0.4,active_perception_value,0.64286,0.04031,0.52673,0.15327,3.51311,0.36250,0.15893
combined,0.4,compute_adaptive_policy,0.40179,0.01959,0.32848,0.50039,3.52260,0.35357,0.26607
combined,0.4,risk_aware_attention,0.68036,0.01762,0.54314,0.13482,3.52658,0.38750,0.16429
combined,0.4,embodied_consequence_budgeting,0.70536,0.02061,0.60754,0.07684,3.52785,0.40536,0.11071
combined,0.4,oracle_consequence_attention,0.73214,0.04102,0.61368,0.06604,3.52198,0.38393,0.13571
combined,0.6,token_salience_transformer,0.06607,0.01578,0.02043,0.95744,3.29061,0.39107,0.42321
combined,0.6,uncertainty_attention,0.22679,0.02642,0.14691,0.69152,3.30618,0.38571,0.35536
combined,0.6,active_perception_value,0.64286,0.03699,0.49959,0.10140,3.25794,0.32143,0.17857
combined,0.6,compute_adaptive_policy,0.36607,0.02914,0.30300,0.48351,3.23778,0.36786,0.29286
combined,0.6,risk_aware_attention,0.67679,0.03682,0.51567,0.07833,3.25167,0.31071,0.21071
combined,0.6,embodied_consequence_budgeting,0.68571,0.03482,0.54925,0.04789,3.23456,0.30357,0.13393
combined,0.6,oracle_consequence_attention,0.70714,0.05040,0.55082,0.04336,3.23396,0.30893,0.16429
combined,0.8,token_salience_transformer,0.04821,0.01246,0.02235,0.95164,3.04589,0.43393,0.45179
combined,0.8,uncertainty_attention,0.17500,0.02139,0.13021,0.71369,3.03842,0.48929,0.39286
combined,0.8,active_perception_value,0.59464,0.04404,0.48102,0.09747,3.02018,0.35000,0.22321
combined,0.8,compute_adaptive_policy,0.36786,0.04031,0.25033,0.52128,2.92043,0.21429,0.34464
combined,0.8,risk_aware_attention,0.63571,0.04016,0.49073,0.08720,3.01723,0.34643,0.25000
combined,0.8,embodied_consequence_budgeting,0.66786,0.03887,0.52010,0.05089,2.99459,0.30179,0.18393
combined,0.8,oracle_consequence_attention,0.67857,0.04062,0.52409,0.04673,3.00317,0.32143,0.21607
combined,1.0,token_salience_transformer,0.05536,0.01050,0.02327,0.94673,2.67577,0.32857,0.48393
combined,1.0,uncertainty_attention,0.19107,0.01666,0.11847,0.70625,2.68160,0.30714,0.42321
combined,1.0,active_perception_value,0.57857,0.04921,0.44738,0.09836,2.69826,0.33750,0.26429
combined,1.0,compute_adaptive_policy,0.31964,0.02611,0.23219,0.53631,2.71826,0.29464,0.37143
combined,1.0,risk_aware_attention,0.61786,0.04102,0.45598,0.08765,2.70202,0.34464,0.28393
combined,1.0,embodied_consequence_budgeting,0.60179,0.01356,0.48555,0.07470,2.73773,0.35357,0.21250
combined,1.0,oracle_consequence_attention,0.63393,0.03845,0.48767,0.06860,2.73552,0.38036,0.22857
