split,reference,metric,mean_diff,ci95_diff,seeds
balanced_nominal,active_perception_value,task_success,0.14031,0.02143,7
balanced_nominal,active_perception_value,critical_event_recall,0.13251,0.00602,7
balanced_nominal,active_perception_value,wasted_attention,-0.11273,0.00611,7
balanced_nominal,active_perception_value,compute_cost,-0.02380,0.01315,7
balanced_nominal,active_perception_value,latency_violation,-0.04252,0.02589,7
balanced_nominal,active_perception_value,safety_violation,-0.02551,0.01740,7
balanced_nominal,active_perception_value,physical_regret,-0.06178,0.00165,7
balanced_nominal,active_perception_value,calibration_error,0.00300,0.00105,7
balanced_nominal,compute_adaptive_policy,task_success,0.37245,0.03868,7
balanced_nominal,compute_adaptive_policy,critical_event_recall,0.38472,0.00513,7
balanced_nominal,compute_adaptive_policy,wasted_attention,-0.40122,0.00801,7
balanced_nominal,compute_adaptive_policy,compute_cost,-0.01152,0.00883,7
balanced_nominal,compute_adaptive_policy,latency_violation,-0.04677,0.02639,7
balanced_nominal,compute_adaptive_policy,safety_violation,-0.13860,0.02329,7
balanced_nominal,compute_adaptive_policy,physical_regret,-0.23869,0.00377,7
balanced_nominal,compute_adaptive_policy,calibration_error,0.03889,0.00216,7
balanced_nominal,oracle_consequence_attention,task_success,0.00255,0.03116,7
balanced_nominal,oracle_consequence_attention,critical_event_recall,-0.01617,0.00606,7
balanced_nominal,oracle_consequence_attention,wasted_attention,0.01664,0.00738,7
balanced_nominal,oracle_consequence_attention,compute_cost,-0.01090,0.00876,7
balanced_nominal,oracle_consequence_attention,latency_violation,-0.02466,0.01995,7
balanced_nominal,oracle_consequence_attention,safety_violation,0.00935,0.01627,7
balanced_nominal,oracle_consequence_attention,physical_regret,0.00854,0.00170,7
balanced_nominal,oracle_consequence_attention,calibration_error,0.00116,0.00082,7
balanced_nominal,risk_aware_attention,task_success,0.10969,0.02050,7
balanced_nominal,risk_aware_attention,critical_event_recall,0.12000,0.00678,7
balanced_nominal,risk_aware_attention,wasted_attention,-0.10567,0.00762,7
balanced_nominal,risk_aware_attention,compute_cost,-0.02952,0.01746,7
balanced_nominal,risk_aware_attention,latency_violation,-0.05612,0.02787,7
balanced_nominal,risk_aware_attention,safety_violation,-0.01276,0.01558,7
balanced_nominal,risk_aware_attention,physical_regret,-0.05412,0.00226,7
balanced_nominal,risk_aware_attention,calibration_error,0.00066,0.00114,7
balanced_nominal,token_salience_transformer,task_success,0.70323,0.00967,7
balanced_nominal,token_salience_transformer,critical_event_recall,0.72541,0.00814,7
balanced_nominal,token_salience_transformer,wasted_attention,-0.72622,0.01215,7
balanced_nominal,token_salience_transformer,compute_cost,-0.04770,0.01251,7
balanced_nominal,token_salience_transformer,latency_violation,-0.07993,0.02413,7
balanced_nominal,token_salience_transformer,safety_violation,-0.28656,0.03382,7
balanced_nominal,token_salience_transformer,physical_regret,-0.53685,0.00648,7
balanced_nominal,token_salience_transformer,calibration_error,0.09686,0.00302,7
balanced_nominal,uncertainty_attention,task_success,0.60544,0.02654,7
balanced_nominal,uncertainty_attention,critical_event_recall,0.60644,0.01317,7
balanced_nominal,uncertainty_attention,wasted_attention,-0.58339,0.01557,7
balanced_nominal,uncertainty_attention,compute_cost,-0.06780,0.01250,7
balanced_nominal,uncertainty_attention,latency_violation,-0.15391,0.03989,7
balanced_nominal,uncertainty_attention,safety_violation,-0.23809,0.02468,7
balanced_nominal,uncertainty_attention,physical_regret,-0.40013,0.00887,7
balanced_nominal,uncertainty_attention,calibration_error,0.07277,0.00310,7
balanced_nominal,uniform_attention_budget,task_success,0.58674,0.02143,7
balanced_nominal,uniform_attention_budget,critical_event_recall,0.60154,0.01316,7
balanced_nominal,uniform_attention_budget,wasted_attention,-0.60006,0.02010,7
balanced_nominal,uniform_attention_budget,compute_cost,-0.01866,0.00990,7
balanced_nominal,uniform_attention_budget,latency_violation,-0.03656,0.03485,7
balanced_nominal,uniform_attention_budget,safety_violation,-0.24065,0.04072,7
balanced_nominal,uniform_attention_budget,physical_regret,-0.40419,0.00825,7
balanced_nominal,uniform_attention_budget,calibration_error,0.07204,0.00245,7
combined_hard_shift,active_perception_value,task_success,0.06378,0.03950,7
combined_hard_shift,active_perception_value,critical_event_recall,0.05647,0.00489,7
combined_hard_shift,active_perception_value,wasted_attention,-0.05552,0.00316,7
combined_hard_shift,active_perception_value,compute_cost,0.00240,0.01337,7
combined_hard_shift,active_perception_value,latency_violation,0.02126,0.02799,7
combined_hard_shift,active_perception_value,safety_violation,-0.03146,0.03534,7
combined_hard_shift,active_perception_value,physical_regret,-0.04649,0.00169,7
combined_hard_shift,active_perception_value,calibration_error,0.00841,0.00179,7
combined_hard_shift,compute_adaptive_policy,task_success,0.27041,0.02002,7
combined_hard_shift,compute_adaptive_policy,critical_event_recall,0.24502,0.00699,7
combined_hard_shift,compute_adaptive_policy,wasted_attention,-0.41051,0.00838,7
combined_hard_shift,compute_adaptive_policy,compute_cost,-0.00608,0.01880,7
combined_hard_shift,compute_adaptive_policy,latency_violation,-0.02721,0.03043,7
combined_hard_shift,compute_adaptive_policy,safety_violation,-0.09949,0.04189,7
combined_hard_shift,compute_adaptive_policy,physical_regret,-0.25706,0.00352,7
combined_hard_shift,compute_adaptive_policy,calibration_error,0.05933,0.00144,7
combined_hard_shift,oracle_consequence_attention,task_success,-0.02041,0.03405,7
combined_hard_shift,oracle_consequence_attention,critical_event_recall,-0.00522,0.00256,7
combined_hard_shift,oracle_consequence_attention,wasted_attention,0.00902,0.00404,7
combined_hard_shift,oracle_consequence_attention,compute_cost,-0.00146,0.00640,7
combined_hard_shift,oracle_consequence_attention,latency_violation,-0.00510,0.01599,7
combined_hard_shift,oracle_consequence_attention,safety_violation,0.01786,0.02936,7
combined_hard_shift,oracle_consequence_attention,physical_regret,0.00751,0.00134,7
combined_hard_shift,oracle_consequence_attention,calibration_error,-0.00078,0.00066,7
combined_hard_shift,risk_aware_attention,task_success,0.01701,0.04077,7
combined_hard_shift,risk_aware_attention,critical_event_recall,0.04257,0.00330,7
combined_hard_shift,risk_aware_attention,wasted_attention,-0.03875,0.00313,7
combined_hard_shift,risk_aware_attention,compute_cost,-0.00114,0.01162,7
combined_hard_shift,risk_aware_attention,latency_violation,0.00255,0.02359,7
combined_hard_shift,risk_aware_attention,safety_violation,0.00510,0.03194,7
combined_hard_shift,risk_aware_attention,physical_regret,-0.03333,0.00090,7
combined_hard_shift,risk_aware_attention,calibration_error,0.00441,0.00077,7
combined_hard_shift,token_salience_transformer,task_success,0.61990,0.02339,7
combined_hard_shift,token_salience_transformer,critical_event_recall,0.53724,0.01150,7
combined_hard_shift,token_salience_transformer,wasted_attention,-0.88941,0.00956,7
combined_hard_shift,token_salience_transformer,compute_cost,-0.01806,0.01650,7
combined_hard_shift,token_salience_transformer,latency_violation,-0.00510,0.03898,7
combined_hard_shift,token_salience_transformer,safety_violation,-0.25340,0.04072,7
combined_hard_shift,token_salience_transformer,physical_regret,-0.63354,0.00907,7
combined_hard_shift,token_salience_transformer,calibration_error,0.12040,0.00158,7
combined_hard_shift,uncertainty_attention,task_success,0.48809,0.02646,7
combined_hard_shift,uncertainty_attention,critical_event_recall,0.41313,0.00766,7
combined_hard_shift,uncertainty_attention,wasted_attention,-0.63368,0.00742,7
combined_hard_shift,uncertainty_attention,compute_cost,-0.03455,0.02009,7
combined_hard_shift,uncertainty_attention,latency_violation,-0.01531,0.06251,7
combined_hard_shift,uncertainty_attention,safety_violation,-0.16156,0.03737,7
combined_hard_shift,uncertainty_attention,physical_regret,-0.42901,0.00408,7
combined_hard_shift,uncertainty_attention,calibration_error,0.09179,0.00337,7
combined_hard_shift,uniform_attention_budget,task_success,0.45238,0.02005,7
combined_hard_shift,uniform_attention_budget,critical_event_recall,0.38647,0.01199,7
combined_hard_shift,uniform_attention_budget,wasted_attention,-0.61441,0.01034,7
combined_hard_shift,uniform_attention_budget,compute_cost,-0.00358,0.01958,7
combined_hard_shift,uniform_attention_budget,latency_violation,0.00085,0.04256,7
combined_hard_shift,uniform_attention_budget,safety_violation,-0.15391,0.04085,7
combined_hard_shift,uniform_attention_budget,physical_regret,-0.41651,0.00581,7
combined_hard_shift,uniform_attention_budget,calibration_error,0.08962,0.00140,7
physical_consequence_shift,active_perception_value,task_success,0.05867,0.02589,7
physical_consequence_shift,active_perception_value,critical_event_recall,0.05811,0.00807,7
physical_consequence_shift,active_perception_value,wasted_attention,-0.06569,0.01355,7
physical_consequence_shift,active_perception_value,compute_cost,-0.01979,0.01352,7
physical_consequence_shift,active_perception_value,latency_violation,-0.01871,0.02941,7
physical_consequence_shift,active_perception_value,safety_violation,-0.03401,0.01291,7
physical_consequence_shift,active_perception_value,physical_regret,-0.04989,0.00406,7
physical_consequence_shift,active_perception_value,calibration_error,0.01110,0.00127,7
physical_consequence_shift,compute_adaptive_policy,task_success,0.22704,0.04773,7
physical_consequence_shift,compute_adaptive_policy,critical_event_recall,0.20001,0.00665,7
physical_consequence_shift,compute_adaptive_policy,wasted_attention,-0.35016,0.01557,7
physical_consequence_shift,compute_adaptive_policy,compute_cost,0.02248,0.01920,7
physical_consequence_shift,compute_adaptive_policy,latency_violation,0.01275,0.03814,7
physical_consequence_shift,compute_adaptive_policy,safety_violation,-0.09949,0.01664,7
physical_consequence_shift,compute_adaptive_policy,physical_regret,-0.21316,0.00384,7
physical_consequence_shift,compute_adaptive_policy,calibration_error,0.05174,0.00131,7
physical_consequence_shift,oracle_consequence_attention,task_success,-0.03997,0.03432,7
physical_consequence_shift,oracle_consequence_attention,critical_event_recall,-0.00320,0.00162,7
physical_consequence_shift,oracle_consequence_attention,wasted_attention,0.00774,0.00388,7
physical_consequence_shift,oracle_consequence_attention,compute_cost,0.00905,0.00749,7
physical_consequence_shift,oracle_consequence_attention,latency_violation,0.02381,0.01650,7
physical_consequence_shift,oracle_consequence_attention,safety_violation,-0.01956,0.01316,7
physical_consequence_shift,oracle_consequence_attention,physical_regret,0.00653,0.00151,7
physical_consequence_shift,oracle_consequence_attention,calibration_error,-0.00091,0.00041,7
physical_consequence_shift,risk_aware_attention,task_success,0.00935,0.04575,7
physical_consequence_shift,risk_aware_attention,critical_event_recall,0.04469,0.00412,7
physical_consequence_shift,risk_aware_attention,wasted_attention,-0.04597,0.00805,7
physical_consequence_shift,risk_aware_attention,compute_cost,-0.01428,0.01372,7
physical_consequence_shift,risk_aware_attention,latency_violation,-0.00425,0.02215,7
physical_consequence_shift,risk_aware_attention,safety_violation,-0.01701,0.02325,7
physical_consequence_shift,risk_aware_attention,physical_regret,-0.03726,0.00214,7
physical_consequence_shift,risk_aware_attention,calibration_error,0.00670,0.00088,7
physical_consequence_shift,token_salience_transformer,task_success,0.55782,0.03842,7
physical_consequence_shift,token_salience_transformer,critical_event_recall,0.47900,0.00616,7
physical_consequence_shift,token_salience_transformer,wasted_attention,-0.79301,0.01186,7
physical_consequence_shift,token_salience_transformer,compute_cost,-0.04352,0.02202,7
physical_consequence_shift,token_salience_transformer,latency_violation,-0.10119,0.04461,7
physical_consequence_shift,token_salience_transformer,safety_violation,-0.22279,0.03249,7
physical_consequence_shift,token_salience_transformer,physical_regret,-0.53199,0.00548,7
physical_consequence_shift,token_salience_transformer,calibration_error,0.11984,0.00153,7
physical_consequence_shift,uncertainty_attention,task_success,0.41071,0.02969,7
physical_consequence_shift,uncertainty_attention,critical_event_recall,0.35221,0.00391,7
physical_consequence_shift,uncertainty_attention,wasted_attention,-0.54357,0.00674,7
physical_consequence_shift,uncertainty_attention,compute_cost,-0.04781,0.02662,7
physical_consequence_shift,uncertainty_attention,latency_violation,-0.11905,0.06359,7
physical_consequence_shift,uncertainty_attention,safety_violation,-0.17432,0.03525,7
physical_consequence_shift,uncertainty_attention,physical_regret,-0.35331,0.00380,7
physical_consequence_shift,uncertainty_attention,calibration_error,0.08301,0.00063,7
physical_consequence_shift,uniform_attention_budget,task_success,0.37925,0.03669,7
physical_consequence_shift,uniform_attention_budget,critical_event_recall,0.35117,0.00811,7
physical_consequence_shift,uniform_attention_budget,wasted_attention,-0.56526,0.01156,7
physical_consequence_shift,uniform_attention_budget,compute_cost,-0.03077,0.02118,7
physical_consequence_shift,uniform_attention_budget,latency_violation,-0.05527,0.05345,7
physical_consequence_shift,uniform_attention_budget,safety_violation,-0.17772,0.02805,7
physical_consequence_shift,uniform_attention_budget,physical_regret,-0.36029,0.00245,7
physical_consequence_shift,uniform_attention_budget,calibration_error,0.08445,0.00123,7
tight_compute_budget,active_perception_value,task_success,0.10204,0.02626,7
tight_compute_budget,active_perception_value,critical_event_recall,0.08357,0.00940,7
tight_compute_budget,active_perception_value,wasted_attention,-0.07966,0.01110,7
tight_compute_budget,active_perception_value,compute_cost,-0.00010,0.01116,7
tight_compute_budget,active_perception_value,latency_violation,0.02041,0.02413,7
tight_compute_budget,active_perception_value,safety_violation,-0.03912,0.03158,7
tight_compute_budget,active_perception_value,physical_regret,-0.05337,0.00509,7
tight_compute_budget,active_perception_value,calibration_error,0.00830,0.00152,7
tight_compute_budget,compute_adaptive_policy,task_success,0.34439,0.05120,7
tight_compute_budget,compute_adaptive_policy,critical_event_recall,0.27769,0.01008,7
tight_compute_budget,compute_adaptive_policy,wasted_attention,-0.40787,0.00641,7
tight_compute_budget,compute_adaptive_policy,compute_cost,0.00733,0.00910,7
tight_compute_budget,compute_adaptive_policy,latency_violation,0.03656,0.02539,7
tight_compute_budget,compute_adaptive_policy,safety_violation,-0.14031,0.00948,7
tight_compute_budget,compute_adaptive_policy,physical_regret,-0.23630,0.00466,7
tight_compute_budget,compute_adaptive_policy,calibration_error,0.05093,0.00154,7
tight_compute_budget,oracle_consequence_attention,task_success,0.02636,0.02232,7
tight_compute_budget,oracle_consequence_attention,critical_event_recall,-0.00762,0.00346,7
tight_compute_budget,oracle_consequence_attention,wasted_attention,0.01273,0.00517,7
tight_compute_budget,oracle_consequence_attention,compute_cost,0.00471,0.00831,7
tight_compute_budget,oracle_consequence_attention,latency_violation,0.02041,0.01743,7
tight_compute_budget,oracle_consequence_attention,safety_violation,0.00340,0.01459,7
tight_compute_budget,oracle_consequence_attention,physical_regret,0.00823,0.00168,7
tight_compute_budget,oracle_consequence_attention,calibration_error,-0.00061,0.00051,7
tight_compute_budget,risk_aware_attention,task_success,0.07483,0.02822,7
tight_compute_budget,risk_aware_attention,critical_event_recall,0.06754,0.00781,7
tight_compute_budget,risk_aware_attention,wasted_attention,-0.06166,0.00970,7
tight_compute_budget,risk_aware_attention,compute_cost,0.00261,0.00900,7
tight_compute_budget,risk_aware_attention,latency_violation,0.02806,0.00608,7
tight_compute_budget,risk_aware_attention,safety_violation,-0.01360,0.02259,7
tight_compute_budget,risk_aware_attention,physical_regret,-0.04175,0.00475,7
tight_compute_budget,risk_aware_attention,calibration_error,0.00393,0.00131,7
tight_compute_budget,token_salience_transformer,task_success,0.64116,0.01521,7
tight_compute_budget,token_salience_transformer,critical_event_recall,0.56351,0.01319,7
tight_compute_budget,token_salience_transformer,wasted_attention,-0.81699,0.00762,7
tight_compute_budget,token_salience_transformer,compute_cost,-0.00913,0.01207,7
tight_compute_budget,token_salience_transformer,latency_violation,0.03571,0.02571,7
tight_compute_budget,token_salience_transformer,safety_violation,-0.22704,0.02226,7
tight_compute_budget,token_salience_transformer,physical_regret,-0.57438,0.01117,7
tight_compute_budget,token_salience_transformer,calibration_error,0.11233,0.00214,7
tight_compute_budget,uncertainty_attention,task_success,0.52636,0.02345,7
tight_compute_budget,uncertainty_attention,critical_event_recall,0.46220,0.01407,7
tight_compute_budget,uncertainty_attention,wasted_attention,-0.62801,0.01915,7
tight_compute_budget,uncertainty_attention,compute_cost,-0.03084,0.01938,7
tight_compute_budget,uncertainty_attention,latency_violation,0.01360,0.03867,7
tight_compute_budget,uncertainty_attention,safety_violation,-0.19303,0.01868,7
tight_compute_budget,uncertainty_attention,physical_regret,-0.39924,0.01167,7
tight_compute_budget,uncertainty_attention,calibration_error,0.08425,0.00257,7
tight_compute_budget,uniform_attention_budget,task_success,0.50595,0.03149,7
tight_compute_budget,uniform_attention_budget,critical_event_recall,0.43310,0.00993,7
tight_compute_budget,uniform_attention_budget,wasted_attention,-0.61083,0.01239,7
tight_compute_budget,uniform_attention_budget,compute_cost,0.00323,0.01493,7
tight_compute_budget,uniform_attention_budget,latency_violation,0.01020,0.04509,7
tight_compute_budget,uniform_attention_budget,safety_violation,-0.18707,0.01667,7
tight_compute_budget,uniform_attention_budget,physical_regret,-0.38705,0.01106,7
tight_compute_budget,uniform_attention_budget,calibration_error,0.08104,0.00262,7
visual_distractor_shift,active_perception_value,task_success,0.10629,0.03649,7
visual_distractor_shift,active_perception_value,critical_event_recall,0.12840,0.00836,7
visual_distractor_shift,active_perception_value,wasted_attention,-0.09185,0.00494,7
visual_distractor_shift,active_perception_value,compute_cost,-0.01393,0.01129,7
visual_distractor_shift,active_perception_value,latency_violation,-0.02381,0.04260,7
visual_distractor_shift,active_perception_value,safety_violation,-0.03912,0.00948,7
visual_distractor_shift,active_perception_value,physical_regret,-0.05714,0.00277,7
visual_distractor_shift,active_perception_value,calibration_error,0.00212,0.00105,7
visual_distractor_shift,compute_adaptive_policy,task_success,0.42687,0.04095,7
visual_distractor_shift,compute_adaptive_policy,critical_event_recall,0.46911,0.01632,7
visual_distractor_shift,compute_adaptive_policy,wasted_attention,-0.38316,0.00994,7
visual_distractor_shift,compute_adaptive_policy,compute_cost,0.01861,0.00774,7
visual_distractor_shift,compute_adaptive_policy,latency_violation,0.03231,0.02506,7
visual_distractor_shift,compute_adaptive_policy,safety_violation,-0.17262,0.02914,7
visual_distractor_shift,compute_adaptive_policy,physical_regret,-0.28237,0.01044,7
visual_distractor_shift,compute_adaptive_policy,calibration_error,0.04190,0.00189,7
visual_distractor_shift,oracle_consequence_attention,task_success,-0.00680,0.02255,7
visual_distractor_shift,oracle_consequence_attention,critical_event_recall,-0.01582,0.00379,7
visual_distractor_shift,oracle_consequence_attention,wasted_attention,0.01716,0.00304,7
visual_distractor_shift,oracle_consequence_attention,compute_cost,0.00225,0.01222,7
visual_distractor_shift,oracle_consequence_attention,latency_violation,0.01105,0.03274,7
visual_distractor_shift,oracle_consequence_attention,safety_violation,-0.00170,0.00707,7
visual_distractor_shift,oracle_consequence_attention,physical_regret,0.00877,0.00109,7
visual_distractor_shift,oracle_consequence_attention,calibration_error,0.00138,0.00107,7
visual_distractor_shift,risk_aware_attention,task_success,0.09013,0.02663,7
visual_distractor_shift,risk_aware_attention,critical_event_recall,0.09909,0.00954,7
visual_distractor_shift,risk_aware_attention,wasted_attention,-0.07115,0.00770,7
visual_distractor_shift,risk_aware_attention,compute_cost,-0.00689,0.01373,7
visual_distractor_shift,risk_aware_attention,latency_violation,-0.00680,0.05551,7
visual_distractor_shift,risk_aware_attention,safety_violation,-0.01786,0.00805,7
visual_distractor_shift,risk_aware_attention,physical_regret,-0.04460,0.00332,7
visual_distractor_shift,risk_aware_attention,calibration_error,0.00004,0.00102,7
visual_distractor_shift,token_salience_transformer,task_success,0.79166,0.03537,7
visual_distractor_shift,token_salience_transformer,critical_event_recall,0.86532,0.01133,7
visual_distractor_shift,token_salience_transformer,wasted_attention,-0.69456,0.00969,7
visual_distractor_shift,token_salience_transformer,compute_cost,-0.03753,0.01732,7
visual_distractor_shift,token_salience_transformer,latency_violation,-0.07908,0.02877,7
visual_distractor_shift,token_salience_transformer,safety_violation,-0.33248,0.02747,7
visual_distractor_shift,token_salience_transformer,physical_regret,-0.63588,0.00398,7
visual_distractor_shift,token_salience_transformer,calibration_error,0.10301,0.00217,7
visual_distractor_shift,uncertainty_attention,task_success,0.65646,0.03892,7
visual_distractor_shift,uncertainty_attention,critical_event_recall,0.70701,0.01141,7
visual_distractor_shift,uncertainty_attention,wasted_attention,-0.54511,0.00525,7
visual_distractor_shift,uncertainty_attention,compute_cost,-0.05720,0.01467,7
visual_distractor_shift,uncertainty_attention,latency_violation,-0.11054,0.04408,7
visual_distractor_shift,uncertainty_attention,safety_violation,-0.24660,0.02775,7
visual_distractor_shift,uncertainty_attention,physical_regret,-0.45888,0.00453,7
visual_distractor_shift,uncertainty_attention,calibration_error,0.07628,0.00241,7
visual_distractor_shift,uniform_attention_budget,task_success,0.62330,0.04103,7
visual_distractor_shift,uniform_attention_budget,critical_event_recall,0.67639,0.03095,7
visual_distractor_shift,uniform_attention_budget,wasted_attention,-0.53528,0.01452,7
visual_distractor_shift,uniform_attention_budget,compute_cost,-0.00361,0.00815,7
visual_distractor_shift,uniform_attention_budget,latency_violation,0.00340,0.03885,7
visual_distractor_shift,uniform_attention_budget,safety_violation,-0.23470,0.02945,7
visual_distractor_shift,uniform_attention_budget,physical_regret,-0.44310,0.01042,7
visual_distractor_shift,uniform_attention_budget,calibration_error,0.07195,0.00201,7
